,item_name,item_id,item_category_id,cleaned_name
62,10000 ЛЕТ ДО Н.Э. WB (BD),62,37,10000 лет до нэ wb 
63,101 ДАЛМАТИНЕЦ  wd,63,40,101 далматинец wd
64,101 ДАЛМАТИНЕЦ 2 м/ф (регион),64,40,101 далматинец 2 мф 
65,101 ДАЛМАТИНЕЦ 2:ПРИКЛЮЧЕНИЯ ПАТЧА В ЛОНДОНЕ (BD),65,37,101 далматинец 2приключения патча в лондоне 
66,101 ДАЛМАТИНЕЦ М/Ф (BD),66,37,101 далматинец мф 
67,101 ДАЛМАТИНЕЦ м/ф (регион),67,40,101 далматинец мф 
68,"101 Далматинец. Интерактивная сказка [PC-CD, Jewel]",68,30,101 далматинец интерактивная сказка 
69,"101 совет начинающим разработчикам в системе ""1С:Предприятие 8""  [Цифровая версия]",69,54,101 совет начинающим разработчикам в системе 1спредприятие 8 
70,"101 совет начинающим разработчикам в системе ""1С:Предприятие 8"". Хрусталева Е.Ю.",70,49,101 совет начинающим разработчикам в системе 1спредприятие 8 хрусталева ею
71,11 ДРУЗЕЙ ОУШЕНА WB (BD),71,37,11 друзей оушена wb 
72,11 ДРУЗЕЙ ОУШЕНА WB (регион),72,40,11 друзей оушена wb 
73,11-11-11 (регион),73,40,111111 
74,12 ДРУЗЕЙ ОУШЕНА WB (BD),74,37,12 друзей оушена wb 
75,12 ДРУЗЕЙ ОУШЕНА WB (регион),75,40,12 друзей оушена wb 
76,12 ЛЕТ РАБСТВА (BD),76,37,12 лет рабства 
77,12 ЛЕТ РАБСТВА (регион),77,40,12 лет рабства 
78,12 МЕСЯЦЕВ,78,40,12 месяцев
79,12 МЕСЯЦЕВ. НОВАЯ СКАЗКА,79,40,12 месяцев новая сказка
80,12 РАУНДОВ (BD),80,37,12 раундов 
81,12 РОЖДЕСТВЕНСКИХ ЖЕЛАНИЙ,81,40,12 рождественских желаний
82,12/ДВЕНАДЦАТЬ (BD),82,37,12двенадцать 
83,12/ДВЕНАДЦАТЬ (СР) (Регион),83,40,12двенадцать 
84,127 ЧАСОВ,84,40,127 часов
85,127 ЧАСОВ (BD+DVD),85,37,127 часов 
86,127 ЧАСОВ (регион),86,40,127 часов 
87,13 ДРУЗЕЙ ОУШЕНА WB (BD),87,37,13 друзей оушена wb 
88,13 ДРУЗЕЙ ОУШЕНА WB (регион),88,40,13 друзей оушена wb 
89,13-Й ВОИН wd,89,40,13й воин wd
90,13-Й РАЙОН: Кирпичные особняки,90,40,13й район кирпичные особняки
91,13-Й РАЙОН: Кирпичные особняки (BD),91,37,13й район кирпичные особняки 
92,13-Й РАЙОН: УЛЬТИМАТУМ (BD),92,37,13й район ультиматум 
93,15 знаменитых сказок  Детям от 0 до 3 лет (mp3-CD) (Jewel),93,43,15 знаменитых сказок детям от 0 до 3 лет 
94,16 ЖЕЛАНИЙ,94,40,16 желаний
95,1812. ЭНЦИКЛОПЕДИЯ ВЕЛИКОЙ ВОЙНЫ,95,40,1812 энциклопедия великой войны
96,1812. ЭНЦИКЛОПЕДИЯ ВОЙНЫ (регион),96,40,1812 энциклопедия войны 
97,1812: 4 СЕРИИ (регион),97,40,1812 4 серии 
98,1812: УЛАНСКАЯ БАЛЛАДА,98,40,1812 уланская баллада
99,1812: УЛАНСКАЯ БАЛЛАДА (BD),99,37,1812 уланская баллада 
100,1812: УЛАНСКАЯ БАЛЛАДА (регион),100,40,1812 уланская баллада 
101,"1C:Школа. Физика, 9кл. [PC, Цифровая версия]",101,78,1cшкола физика 9кл 
102,"1С-Битрикс: Управление сайтом - Малый бизнес [PC, Цифровая версия]",102,76,1сбитрикс управление сайтом малый бизнес 
103,"1С-Битрикс: Управление сайтом - Стандарт [PC, Цифровая версия]",103,76,1сбитрикс управление сайтом стандарт 
104,"1С-Битрикс: Управление сайтом - Старт (Bitrix) [PC, Цифровая версия]",104,76,1сбитрикс управление сайтом старт 
105,"1С:Snowball ORIGINALS ""Europa Universalis III. In Nomine""",105,30,1сsnowball originals europa universalis iii in nomine
106,"1С:Snowball ИГРУШКИ ""День Победы II. Новая война""",106,30,1сsnowball игрушки день победы ii новая война
107,1С:Аудио. В гармонии с природой. Музыка для спокойного вождения автомобиля [Цифровая версия],107,44,1саудио в гармонии с природой музыка для спокойного вождения автомобиля 
108,1С:Аудио. В гармонии с природой. Отдых в лесу [Цифровая версия],108,44,1саудио в гармонии с природой отдых в лесу 
109,1С:Аудио. Музыка восстановления равновесия души и тела (Jewel),109,57,1саудио музыка восстановления равновесия души и тела 
110,1С:Аудио. Музыка восстановления равновесия души и тела [Цифровая версия],110,44,1саудио музыка восстановления равновесия души и тела 
111,1С:Аудио. Музыка для оздоровления организма (Jewel),111,57,1саудио музыка для оздоровления организма 
112,1С:Аудио. Музыка для релаксации и массажа [Цифровая версия],112,44,1саудио музыка для релаксации и массажа 
113,1С:Аудио. Музыка для снятия стресса (Jewel),113,57,1саудио музыка для снятия стресса 
114,1С:Аудио. Музыка для снятия стресса [Цифровая версия],114,44,1саудио музыка для снятия стресса 
115,1С:Аудио. Музыка природы (Jewel),115,57,1саудио музыка природы 
116,1С:Аудио. Музыка страсти: повышение тонуса (Jewel),116,57,1саудио музыка страсти повышение тонуса 
117,1С:Аудио. Музыка страсти: повышение тонуса [Цифровая версия],117,44,1саудио музыка страсти повышение тонуса 
118,"1С:Аудиокниги ""Аленушкины сказки"" [Цифровая версия]",118,44,1саудиокниги аленушкины сказки 
119,"1С:Аудиокниги ""Баба-Яга – Золотая нога"" [Цифровая версия]",119,44,1саудиокниги бабаяга золотая нога 
120,"1С:Аудиокниги ""Дама с собачкой"" [Цифровая версия]",120,44,1саудиокниги дама с собачкой 
121,"1С:Аудиокниги ""Кадетский монастырь"" [Цифровая версия]",121,44,1саудиокниги кадетский монастырь 
122,"1С:Аудиокниги ""Любовь"" [Цифровая версия]",122,44,1саудиокниги любовь 
123,"1С:Аудиокниги ""Севастопольские рассказы"" [Цифровая версия]",123,44,1саудиокниги севастопольские рассказы 
124,"1С:Аудиокниги ""Серая Шейка"" [Цифровая версия]",124,44,1саудиокниги серая шейка 
125,"1С:Аудиокниги ""Сказки народов мира"" [Цифровая версия]",125,44,1саудиокниги сказки народов мира 
126,"1С:Аудиокниги ""Сказки. Выпуск 1"" [Цифровая версия]",126,44,1саудиокниги сказки выпуск 1 
127,"1С:Аудиокниги ""Сказки. Выпуск 2"" [Цифровая версия]",127,44,1саудиокниги сказки выпуск 2 
128,"1С:Аудиокниги ""Сказки. Выпуск 3"" [Цифровая версия]",128,44,1саудиокниги сказки выпуск 3 
129,"1С:Аудиокниги ""Сказки. Выпуск 4"" [Цифровая версия]",129,44,1саудиокниги сказки выпуск 4 
130,"1С:Аудиокниги ""Сказки. Выпуск 5"" [Цифровая версия]",130,44,1саудиокниги сказки выпуск 5 
131,"1С:Аудиокниги ""Сказки. Выпуск 6"" [Цифровая версия]",131,44,1саудиокниги сказки выпуск 6 
132,"1С:Аудиокниги. ""Мистические рассказы русских писателей"", А. С. Пушкин, Ф. М. Достоевский [Цифровая в",132,44,1саудиокниги мистические рассказы русских писателей а с пушкин ф м достоевский цифровая в
133,1С:Аудиокниги. 25 знаменитых сказок,133,45,1саудиокниги 25 знаменитых сказок
134,1С:Аудиокниги. Around the World in 80 days (by Jules Verne) (Jewel),134,45,1саудиокниги around the world in 80 days 
135,1С:Аудиокниги. Classical Mosaic. English Stories. Part 1,135,45,1саудиокниги classical mosaic english stories part 1
136,1С:Аудиокниги. Happy New English! (Best funny stories) (Digipack),136,45,1саудиокниги happy new english 
137,"1С:Аудиокниги. The Golden Age of Detective Fiction. Part 1 [PC, Цифровая версия]",137,44,1саудиокниги the golden age of detective fiction part 1 
138,1С:Аудиокниги. А. Некрасов. Приключения капитана Врунгеля (Digipack),138,45,1саудиокниги а некрасов приключения капитана врунгеля 
139,1С:Аудиокниги. А.М. Волков. Волшебник изумрудного города (Digipack),139,45,1саудиокниги ам волков волшебник изумрудного города 
140,1С:Аудиокниги. Аладдин и другие восточные сказки (Jewel),140,45,1саудиокниги аладдин и другие восточные сказки 
141,"1С:Аудиокниги. Аладдин и другие восточные сказки [PC, Цифровая версия]",141,44,1саудиокниги аладдин и другие восточные сказки 
142,1С:Аудиокниги. Алексей Толстой. Приключения Буратино (Digipack),142,45,1саудиокниги алексей толстой приключения буратино 
143,1С:Аудиокниги. Аленький цветочек и другие сказки (Jewel),143,45,1саудиокниги аленький цветочек и другие сказки 
144,1С:Аудиокниги. Аленький цветочек и другие сказки [Цифровая версия],144,44,1саудиокниги аленький цветочек и другие сказки 
145,"1С:Аудиокниги. Али-Баба и сорок разбойников [PC, Цифровая версия]",145,44,1саудиокниги алибаба и сорок разбойников 
146,"1С:Аудиокниги. Английские неправильные глаголы. Тренажер   [PC, Цифровая версия]",146,44,1саудиокниги английские неправильные глаголы тренажер 
147,"1С:Аудиокниги. Английские пословицы, поговорки и устойчивые выражения. Самоучитель  [PC, Цифровая версия]",147,44,1саудиокниги английские пословицы поговорки и устойчивые выражения самоучитель 
148,"1С:Аудиокниги. Английские сказки, часть 1 [PC, Цифровая версия]",148,44,1саудиокниги английские сказки часть 1 
149,1С:Аудиокниги. Английский для детей. Слушай и изучай (Jewel),149,45,1саудиокниги английский для детей слушай и изучай 
150,1С:Аудиокниги. Английский для детей. Слушай и изучай [Цифровая версия],150,44,1саудиокниги английский для детей слушай и изучай 
151,1С:Аудиокниги. Английский для малышей. Наглядное пособие (Jewel),151,45,1саудиокниги английский для малышей наглядное пособие 
152,1С:Аудиокниги. Английский для путешественников (Jewel),152,45,1саудиокниги английский для путешественников 
153,1С:Аудиокниги. Английский за 30 минут (Digipack),153,45,1саудиокниги английский за 30 минут 
154,1С:Аудиокниги. Английский за рулем. Выпуск 1 (Beginner) (Digipack),154,45,1саудиокниги английский за рулем выпуск 1 
155,1С:Аудиокниги. Английский за рулем. Выпуск 2 (Elementary) (Digipack),155,45,1саудиокниги английский за рулем выпуск 2 
156,1С:Аудиокниги. Английский за рулем. Выпуск 3 (Pre-Intermediate) (Digipack),156,45,1саудиокниги английский за рулем выпуск 3 
157,"1С:Аудиокниги. Английский словарный минимум. Тренажер  [PC, Цифровая версия]",157,44,1саудиокниги английский словарный минимум тренажер 
158,"1С:Аудиокниги. Английский язык за 12 дней: Самоучитель для повседневного общения [PC, Цифровая версия]",158,44,1саудиокниги английский язык за 12 дней самоучитель для повседневного общения 
159,"1С:Аудиокниги. Английский язык за 12 дней: Самоучитель. Деловой английский  [PC, Цифровая версия]",159,44,1саудиокниги английский язык за 12 дней самоучитель деловой английский 
160,"1С:Аудиокниги. Английский язык за 12 дней: Самоучитель. Отдых за рубежом [PC, Цифровая версия]",160,44,1саудиокниги английский язык за 12 дней самоучитель отдых за рубежом 
161,"1С:Аудиокниги. Английский язык. 1700 распространенных фраз и выражений. Тренажер   [PC, Цифровая версия]",161,44,1саудиокниги английский язык 1700 распространенных фраз и выражений тренажер 
162,1С:Аудиокниги. Андерсен Г.Х. Дюймовочка,162,45,1саудиокниги андерсен гх дюймовочка
163,"1С:Аудиокниги. Андрей Платонов. Челюсть дракона. Рассказы о войне12    [PC, Цифровая версия]",163,44,1саудиокниги андрей платонов челюсть дракона рассказы о войне12 
164,1С:Аудиокниги. Аркадий Аверченко. Классика русского юмора. [Цифровая версия],164,44,1саудиокниги аркадий аверченко классика русского юмора 
165,1С:Аудиокниги. Артур Конан Дойл. Долина страха (Jewel),165,45,1саудиокниги артур конан дойл долина страха 
166,1С:Аудиокниги. Артур Конан Дойл. Истории о Шерлоке Холмсе (Jewel),166,45,1саудиокниги артур конан дойл истории о шерлоке холмсе 
167,"1С:Аудиокниги. Аткинсон У. Сила мысли или магнетизм личности   [PC, Цифровая версия]",167,44,1саудиокниги аткинсон у сила мысли или магнетизм личности 
168,"1С:Аудиокниги. Аудиокурсы по географии. 6 класс  [PC, Цифровая версия]",168,44,1саудиокниги аудиокурсы по географии 6 класс 
169,"1С:Аудиокниги. Аудиокурсы по географии. 7 класс   [PC, Цифровая версия]",169,44,1саудиокниги аудиокурсы по географии 7 класс 
170,1С:Аудиокниги. Аудиокурсы. Учимся правильно и грамотно говорить по-русски (Jewel),170,45,1саудиокниги аудиокурсы учимся правильно и грамотно говорить порусски 
171,1С:Аудиокниги. Аудиоэкскурсия. Московский Кремль,171,45,1саудиокниги аудиоэкскурсия московский кремль
172,1С:Аудиокниги. Аудиоэкскурсия. Невский проспект,172,45,1саудиокниги аудиоэкскурсия невский проспект
173,1С:Аудиокниги. Аудиоэнциклопедия для самых маленьких. Окружающий мир (Digipack),173,45,1саудиокниги аудиоэнциклопедия для самых маленьких окружающий мир 
174,"1С:Аудиокниги. Библейские истории Нового Завета. Жизнь Иисуса Христа     [PC, Цифровая версия]",174,44,1саудиокниги библейские истории нового завета жизнь иисуса христа 
175,1С:Аудиокниги. Большая поэзия для маленьких детей (сборник) (Jewel),175,45,1саудиокниги большая поэзия для маленьких детей 
176,1С:Аудиокниги. Булгаков М. Собачье сердце,176,45,1саудиокниги булгаков м собачье сердце
177,1С:Аудиокниги. Булгаков М.А. Мастер и Маргарита,177,45,1саудиокниги булгаков ма мастер и маргарита
178,1С:Аудиокниги. Булгаков М.А. Ханский огонь,178,45,1саудиокниги булгаков ма ханский огонь
179,1С:Аудиокниги. Бунин И. А. Грехи любви,179,45,1саудиокниги бунин и а грехи любви
180,"1С:Аудиокниги. Былины русского народа. Сборник  [ PC, Цифровая версия]",180,44,1саудиокниги былины русского народа сборник 
181,"1С:Аудиокниги. Вагин И. Гнев, обида, месть и предательство    [PC, Цифровая версия]",181,44,1саудиокниги вагин и гнев обида месть и предательство 
182,"1С:Аудиокниги. Вагин И. Как развить уверенность в себе и поднять самооценку     [PC, Цифровая версия]",182,44,1саудиокниги вагин и как развить уверенность в себе и поднять самооценку 
183,"1С:Аудиокниги. Вагин И. О. Драйв-менеджмент    [ PC, Цифровая версия]",183,44,1саудиокниги вагин и о драйвменеджмент 
184,"1С:Аудиокниги. Вагин И. О. Избавление от страха и тревоги  [PC, Цифровая версия]",184,44,1саудиокниги вагин и о избавление от страха и тревоги 
185,"1С:Аудиокниги. Вагин И. О. Как купить, но не купиться    [PC, Цифровая версия]",185,44,1саудиокниги вагин и о как купить но не купиться 
186,"1С:Аудиокниги. Вагин И. О. Как перестать нервничать   [PC, Цифровая версия]",186,44,1саудиокниги вагин и о как перестать нервничать 
187,"1С:Аудиокниги. Вагин И. О. Как поставить собеседника на место. Методы словестной атаки [PC, Цифровая версия]",187,44,1саудиокниги вагин и о как поставить собеседника на место методы словестной атаки 
188,"1С:Аудиокниги. Вагин И. О. Как создать успешный имидж    [PC, Цифровая версия]",188,44,1саудиокниги вагин и о как создать успешный имидж 
189,"1С:Аудиокниги. Вагин И. О. Как сохранить деньги     [PC, Цифровая версия]",189,44,1саудиокниги вагин и о как сохранить деньги 
190,"1С:Аудиокниги. Вагин И. О. Как управлять другими     [PC, Цифровая версия]",190,44,1саудиокниги вагин и о как управлять другими 
191,"1С:Аудиокниги. Вагин И. О. Психологическое карате и психологическое айкидо  [ PC, Цифровая версия]",191,44,1саудиокниги вагин и о психологическое карате и психологическое айкидо 
192,"1С:Аудиокниги. Вагин И. О. Психотехники развития уверенности в себе, удачливости, эксклюзивности   [PC, Цифровая версия]",192,44,1саудиокниги вагин и о психотехники развития уверенности в себе удачливости эксклюзивности 
193,"1С:Аудиокниги. Вагин И. О. Управление персоналом     [PC, Цифровая версия]",193,44,1саудиокниги вагин и о управление персоналом 
194,"1С:Аудиокниги. Вагин И. О., Глущай А. Научи себя смеяться    [PC, Цифровая версия]",194,44,1саудиокниги вагин и о глущай а научи себя смеяться 
195,"1С:Аудиокниги. Вагин И.О. Управление радостью  [ PC, Цифровая версия]",195,44,1саудиокниги вагин ио управление радостью 
196,"1С:Аудиокниги. Василь Быков. Пойти и не вернуться  [PC, Цифровая версия]",196,44,1саудиокниги василь быков пойти и не вернуться 
197,1С:Аудиокниги. Великие бизнесмены или как делались деньги в ХХ веке (Digipack),197,45,1саудиокниги великие бизнесмены или как делались деньги в хх веке 
198,1С:Аудиокниги. Верн Ж. 20 000 лье под водой,198,45,1саудиокниги верн ж 20 000 лье под водой
199,1С:Аудиокниги. Верн Ж. Дети капитана Гранта,199,45,1саудиокниги верн ж дети капитана гранта
200,1С:Аудиокниги. Веселые уроки для самых маленьких. Азбука и счет (Jewel),200,45,1саудиокниги веселые уроки для самых маленьких азбука и счет 
201,"1С:Аудиокниги. Владимирские А. О. и П. А. Как стать успешной, или Секрет карьеристки    [PC, Цифровая версия]",201,44,1саудиокниги владимирские а о и п а как стать успешной или секрет карьеристки 
202,1С:Аудиокниги. Внеклассное чтение (для средней школы) (Jewel),202,45,1саудиокниги внеклассное чтение 
203,"1С:Аудиокниги. Всеобщая история, обработанная ""Сатириконом""   [ PC, Цифровая версия]",203,44,1саудиокниги всеобщая история обработанная сатириконом 
204,"1С:Аудиокниги. Г.Р. Хаггард. Клеопатра [PC, Цифровая версия]",204,44,1саудиокниги гр хаггард клеопатра 
205,1С:Аудиокниги. Г.Х. Андерсен. Русалочка. Музыкальный спектакль (Digipack),205,45,1саудиокниги гх андерсен русалочка музыкальный спектакль 
206,"1С:Аудиокниги. Гарри Гаррисон. Крыса из нержавеющей стали [ PC, Цифровая версия]",206,44,1саудиокниги гарри гаррисон крыса из нержавеющей стали 
207,1С:Аудиокниги. Гаррос-Евдокимов. Серая слизь,207,45,1саудиокниги гарросевдокимов серая слизь
208,"1С:Аудиокниги. Генри Хаггард. Дочь Монтесумы [PC, Цифровая версия]",208,44,1саудиокниги генри хаггард дочь монтесумы 
209,1С:Аудиокниги. География России для детей. Познавательные аудиокурсы [Цифровая версия],209,44,1саудиокниги география россии для детей познавательные аудиокурсы 
210,"1С:Аудиокниги. Гилберт Э. Есть, молиться, любить (Jewel)",210,45,1саудиокниги гилберт э есть молиться любить 
211,"1С:Аудиокниги. Гиляровский В.А. ""Москва и москвичи"" (вторая часть) [Цифровая версия]",211,44,1саудиокниги гиляровский ва москва и москвичи 
212,"1С:Аудиокниги. Гиляровский В.А. ""Москва и москвичи"" (первая часть) [Цифровая версия]",212,44,1саудиокниги гиляровский ва москва и москвичи 
213,1С:Аудиокниги. Гиляровский В.А. Москва и москвичи,213,45,1саудиокниги гиляровский ва москва и москвичи
214,"1С:Аудиокниги. Гоголь Н.В. ""Вий"" [Цифровая версия]",214,44,1саудиокниги гоголь нв вий 
215,1С:Аудиокниги. Гоголь Н.В. Вий (Digipack),215,45,1саудиокниги гоголь нв вий 
216,"1С:Аудиокниги. Гоголь Н.В. Женитьба [PC, Цифровая версия]",216,44,1саудиокниги гоголь нв женитьба 
217,1С:Аудиокниги. Гоголь Н.В. Записки сумасшедшего [Цифровая версия],217,44,1саудиокниги гоголь нв записки сумасшедшего 
218,1С:Аудиокниги. Гончаров И.А. Обыкновенная история,218,45,1саудиокниги гончаров иа обыкновенная история
219,1С:Аудиокниги. Горький М. На дне,219,45,1саудиокниги горький м на дне
220,1С:Аудиокниги. Гранатовый браслет [Цифровая версия],220,44,1саудиокниги гранатовый браслет 
221,1С:Аудиокниги. Грин А.С. Алые паруса [Цифровая версия],221,44,1саудиокниги грин ас алые паруса 
222,1С:Аудиокниги. Грин А.С. Бегущая по волнам [Цифровая версия],222,44,1саудиокниги грин ас бегущая по волнам 
223,1С:Аудиокниги. Грин А.С. Лучшие рассказы [Цифровая версия],223,44,1саудиокниги грин ас лучшие рассказы 
224,1С:Аудиокниги. Гюго В. Отверженные (Jewel),224,45,1саудиокниги гюго в отверженные 
225,1С:Аудиокниги. Даниель Дефо. Робинзон Крузо. (Jewel),225,45,1саудиокниги даниель дефо робинзон крузо 
226,1С:Аудиокниги. Детективы в дорогу. В лучших традициях Агаты Кристи и Артура Конан Дойля (Jewel),226,45,1саудиокниги детективы в дорогу в лучших традициях агаты кристи и артура конан дойля 
227,1С:Аудиокниги. Детективы в дорогу. Русская версия. В лучших традициях Агаты Кристи и Артура Конан До,227,44,1саудиокниги детективы в дорогу русская версия в лучших традициях агаты кристи и артура конан до
228,"1С:Аудиокниги. Детям от 0 до 3 лет. Сказки, потешки, колыбельные (Jewel)",228,45,1саудиокниги детям от 0 до 3 лет сказки потешки колыбельные 
229,"1С:Аудиокниги. Детям от 0 до 5 лет. Кэрролл Л. Алиса для малышей  [PC, Цифровая версия]",229,44,1саудиокниги детям от 0 до 5 лет кэрролл л алиса для малышей 
230,1С:Аудиокниги. Дефо Д. Робинзон Крузо,230,45,1саудиокниги дефо д робинзон крузо
231,"1С:Аудиокниги. Дефо Д. Робинзон Крузо  [ PC, Цифровая версия]",231,44,1саудиокниги дефо д робинзон крузо 
232,1С:Аудиокниги. Джек Лондон. Сердца трех (Jewel),232,45,1саудиокниги джек лондон сердца трех 
233,"1С:Аудиокниги. Джером К.Джером. Трое в одной лодке, не считая собаки (Jewel)",233,45,1саудиокниги джером кджером трое в одной лодке не считая собаки 
234,1С:Аудиокниги. Джонатан Свифт. Путешествия Гулливера (Digipack),234,45,1саудиокниги джонатан свифт путешествия гулливера 
235,1С:Аудиокниги. Диккенс Чарльз. Наследник торгового дома (Jewel),235,45,1саудиокниги диккенс чарльз наследник торгового дома 
236,1С:Аудиокниги. Дина Рубина. Несколько торопливых слов о любви (Digipack),236,45,1саудиокниги дина рубина несколько торопливых слов о любви 
237,"1С:Аудиокниги. Для самых маленьких. Сказки, потешки и песенки для детей до трех лет (Digipack)",237,45,1саудиокниги для самых маленьких сказки потешки и песенки для детей до трех лет 
238,1С:Аудиокниги. Добрыня Никитич и Змей Горыныч. Алеша Попович и Тугарин Змей,238,45,1саудиокниги добрыня никитич и змей горыныч алеша попович и тугарин змей
239,"1С:Аудиокниги. Дойль А. К. Союз рыжих. Рассказы о Шерлоке Холмсе    [PC, Цифровая версия]",239,44,1саудиокниги дойль а к союз рыжих рассказы о шерлоке холмсе 
240,1С:Аудиокниги. Достоевcкий Ф.М. Скверный анекдот [Цифровая версия],240,44,1саудиокниги достоевcкий фм скверный анекдот 
